name,latitude,longitude,location_name,type,source,distance_to_nearest_conflict_km,risk_status
Ecole primaire Busamba,0.019128,29.159436,,School,DRC_All_SCHool_Local,3.7557103683016524,at-risk
Ecole secondaire Kauli,-0.248189,29.417682,,School,DRC_All_SCHool_Local,4.652637427816954,at-risk
Ecole primaire et secondaire Vusorongi,-0.043847,29.495146,,School,DRC_All_SCHool_Local,2.4196707364405787,at-risk
Institut Pédagogique Adventiste de Lukanga,-0.057677,29.3028598,,School,DRC_All_SCHool_Local,2.217151191281154,at-risk
Ecole primaire Vurondo,-0.042343,29.502651,,School,DRC_All_SCHool_Local,2.731676381084128,at-risk
École primaire Katsunga,0.02106,29.158588,,School,DRC_All_SCHool_Local,3.844236534395368,at-risk
École primaire Matembo,0.063167,29.008791,,School,DRC_All_SCHool_Local,4.4740436905127385,at-risk
École Primaire Bayangwa,0.058822,29.3616756,,School,DRC_All_SCHool_Local,2.4427910773943764,at-risk
École Primaire Ngeleza,0.0390868,29.3437212,,School,DRC_All_SCHool_Local,1.7576351434752466,at-risk
Ecole primaire Katembo,0.013147,29.070249,,School,DRC_All_SCHool_Local,2.0632485359435915,at-risk
Ecole primaire Buyinga,0.061324,29.055163,,School,DRC_All_SCHool_Local,0.482337573206068,at-risk
Kisima,-0.290569,29.401239,,School,DRC_All_SCHool_Local,0.40293247557630885,at-risk
Ecole secondaire Kalimba,-0.3655084,29.3143531,,School,DRC_All_SCHool_Local,1.6011506629313923,at-risk
Ecole primaire Kivuwa,0.08935,29.159598,,School,DRC_All_SCHool_Local,2.4108913552322506,at-risk
Ecole primaire Virenge,-0.203201,29.301804,,School,DRC_All_SCHool_Local,3.1831657842105114,at-risk
Ecole primaire Tuvuke / Burusi,-0.079415,29.454511,,School,DRC_All_SCHool_Local,4.7304754795075,at-risk
École Primaire Ndando,0.064145,29.280671,,School,DRC_All_SCHool_Local,1.349267261159245,at-risk
Ecole primaire Kanyamulamba,0.072912,29.084326,,School,DRC_All_SCHool_Local,0.04375163548573564,at-risk
Ecole primaire Kivuwe,-0.0023049,29.498892,,School,DRC_All_SCHool_Local,2.6365932710538322,at-risk
Ecole secondaire Mulo,-0.1347767,29.2666818,,School,DRC_All_SCHool_Local,5.130806678865214,at-risk
École primaire Katiri,-0.031163,29.37762,,School,DRC_All_SCHool_Local,4.878994831142189,at-risk
Ecole primaire Kasinga,0.0317193,29.2098927,,School,DRC_All_SCHool_Local,2.209638157449599,at-risk
Ecole primaire Kyangendi,-0.000426,29.533243,,School,DRC_All_SCHool_Local,2.55388623485052,at-risk
Ecole secondaire Kyangendi,-0.002898,29.523677,,School,DRC_All_SCHool_Local,2.118664468179889,at-risk
