name,latitude,longitude,location_name,type,source
Ecole primaire Ngazi,0.4188331,29.1543505,,School,DRC_All_SCHool_Local
Institut Kyavaghendi,0.0935478,29.3344255,,School,DRC_All_SCHool_Local
École Primaire Bakita,0.0900312,29.2890793,,School,DRC_All_SCHool_Local
Kaswara,1.2398056,30.0991111,,School,DRC_All_SCHool_Local
École Primaire Musimba,0.093784,29.271547,,School,DRC_All_SCHool_Local
École secondaire Bulumbi,0.1101956,29.3006519,,School,DRC_All_SCHool_Local
École primaire Kyatsinge,0.111558,29.273888,,School,DRC_All_SCHool_Local
Lycée Butembo,0.1302413,29.3205563,,School,DRC_All_SCHool_Local
École Primaire Kabasha,0.2382722,29.2628214,,School,DRC_All_SCHool_Local
École Primaire Bwinongo,0.0773186,29.2933537,,School,DRC_All_SCHool_Local
Ecole primaire Reginacaeli,0.16155,29.29455,,School,DRC_All_SCHool_Local
École Primaire Bulumbi,0.1105009,29.3010368,,School,DRC_All_SCHool_Local
École Primaire Rupaya,0.29928,29.2466,,School,DRC_All_SCHool_Local
Institut Masiki,0.1207207,29.301918,,School,DRC_All_SCHool_Local
Ecole Secondaire Malevu,0.1371127,29.3343576,,School,DRC_All_SCHool_Local
Institut Nyalumenge,0.1348864,29.300083,,School,DRC_All_SCHool_Local
École Primaire Kihinga,0.1285415,29.311101,,School,DRC_All_SCHool_Local
École Primaire Ahimidiwe,0.1291796,29.3112329,,School,DRC_All_SCHool_Local
École Primaire et Secondaire Sauvetage,0.14285,29.3,,School,DRC_All_SCHool_Local
École Primaire Bubanda II,0.25191,29.24971,,School,DRC_All_SCHool_Local
InstIitut La Vérité,0.1175146,29.3183009,,School,DRC_All_SCHool_Local
École Primaire Butuhe,0.21322,29.2716,,School,DRC_All_SCHool_Local
École primaire et secondaire Ngazi,0.41551,29.16044,,School,DRC_All_SCHool_Local
École Primaire Kilalu,0.1335741,29.3204096,,School,DRC_All_SCHool_Local
Ecole Primaire et Secondaire Mbilinga,0.31562,29.21604,,School,DRC_All_SCHool_Local
Institut Katwa,0.09442,29.3139454,,School,DRC_All_SCHool_Local
Institut Loyola,0.1061334,29.279711,,School,DRC_All_SCHool_Local
Gety,1.2078056,30.1823889,,School,DRC_All_SCHool_Local
École Primaire Advantiste Hekima,0.1119628,29.3124466,,School,DRC_All_SCHool_Local
École primaire Mayazola,0.71,29.5276944,,School,DRC_All_SCHool_Local
École primaire et secondaire Malondo,0.3982,29.19551,,School,DRC_All_SCHool_Local
Ecole Secondaire Livate,0.1374657,29.3338323,,School,DRC_All_SCHool_Local
Institut Superieur Biblique de Katwa,0.0967715,29.3122177,,School,DRC_All_SCHool_Local
École Secondaire Hekima,0.2813,29.27207,,School,DRC_All_SCHool_Local
École Primaire Kitulu,0.1248134,29.3034406,,School,DRC_All_SCHool_Local
Ecole primaire et secondaire Visiki,0.395626,29.2244464,,School,DRC_All_SCHool_Local
École Primaire Kirivata,0.1397258,29.2994804,,School,DRC_All_SCHool_Local
École Primaire Menge,0.1359114,29.3011297,,School,DRC_All_SCHool_Local
Sorodo II,1.1455833,30.0242778,,School,DRC_All_SCHool_Local
École Primaire Nderembi,0.0985,29.30495,,School,DRC_All_SCHool_Local
École primaire Mambombo,0.39947,29.19624,,School,DRC_All_SCHool_Local
École Primaire Hanga,0.12175,29.3217,,School,DRC_All_SCHool_Local
École primaire Katasohire,0.122759,29.3113087,,School,DRC_All_SCHool_Local
Institut Ngununu,0.1400897,29.3068437,,School,DRC_All_SCHool_Local
Complexe Scolaire Vuvatsi,0.1383914,29.3074935,,School,DRC_All_SCHool_Local
École Primaire Heri,0.1317531,29.3295763,,School,DRC_All_SCHool_Local
Institut Tuyitsinge,0.1521622,29.3078234,,School,DRC_All_SCHool_Local
École Primaire et Secondaire Mikala,0.32826,29.24898,,School,DRC_All_SCHool_Local
École primaire et secondaire Vusamba,0.022115,29.161467,,School,DRC_All_SCHool_Local
École primaire et secondaire Musitu Et Mabwe,0.04176,29.064797,,School,DRC_All_SCHool_Local
Institut Kyavirimu,-0.1241927,29.3942153,,School,DRC_All_SCHool_Local
École primaire Musasa,-0.077387,29.135341,,School,DRC_All_SCHool_Local
École primaire Musangalya,0.0776381,29.4096378,,School,DRC_All_SCHool_Local
École primaire Mavoghu,0.060722,29.058826,,School,DRC_All_SCHool_Local
Ecole primaire Muvugha,-0.0287,29.437877,,School,DRC_All_SCHool_Local
École primaire Ngitse,-0.097201,29.388631,,School,DRC_All_SCHool_Local
École primaire Kavasinza,0.086359,29.158882,,School,DRC_All_SCHool_Local
Église Primaire Magheria,0.0625326,29.3672841,,School,DRC_All_SCHool_Local
Ecole primaire et secondaire Burusi,-0.081114,29.453054,,School,DRC_All_SCHool_Local
École primaire Cbca Bunande,0.006231,28.801357,,School,DRC_All_SCHool_Local
Ecole primaire Busamba,0.019128,29.159436,,School,DRC_All_SCHool_Local
Ecole secondaire Kauli,-0.248189,29.417682,,School,DRC_All_SCHool_Local
Ecole primaire et secondaire Vusorongi,-0.043847,29.495146,,School,DRC_All_SCHool_Local
Institut Pédagogique Adventiste de Lukanga,-0.057677,29.3028598,,School,DRC_All_SCHool_Local
Ecole primaire Vurondo,-0.042343,29.502651,,School,DRC_All_SCHool_Local
École primaire Katsunga,0.02106,29.158588,,School,DRC_All_SCHool_Local
École primaire Matembo,0.063167,29.008791,,School,DRC_All_SCHool_Local
École Primaire Bayangwa,0.058822,29.3616756,,School,DRC_All_SCHool_Local
École Primaire Ngeleza,0.0390868,29.3437212,,School,DRC_All_SCHool_Local
Ecole primaire Katembo,0.013147,29.070249,,School,DRC_All_SCHool_Local
Ecole primaire Buyinga,0.061324,29.055163,,School,DRC_All_SCHool_Local
Kisima,-0.290569,29.401239,,School,DRC_All_SCHool_Local
Ecole secondaire Kalimba,-0.3655084,29.3143531,,School,DRC_All_SCHool_Local
Ecole primaire Kivuwa,0.08935,29.159598,,School,DRC_All_SCHool_Local
Ecole primaire Virenge,-0.203201,29.301804,,School,DRC_All_SCHool_Local
Ecole primaire Tuvuke / Burusi,-0.079415,29.454511,,School,DRC_All_SCHool_Local
École Primaire Ndando,0.064145,29.280671,,School,DRC_All_SCHool_Local
Ecole primaire Kanyamulamba,0.072912,29.084326,,School,DRC_All_SCHool_Local
Ecole primaire Kivuwe,-0.0023049,29.498892,,School,DRC_All_SCHool_Local
Ecole secondaire Mulo,-0.1347767,29.2666818,,School,DRC_All_SCHool_Local
École primaire Katiri,-0.031163,29.37762,,School,DRC_All_SCHool_Local
Ecole primaire Kasinga,0.0317193,29.2098927,,School,DRC_All_SCHool_Local
Ecole primaire Kyangendi,-0.000426,29.533243,,School,DRC_All_SCHool_Local
Ecole secondaire Kyangendi,-0.002898,29.523677,,School,DRC_All_SCHool_Local
Ecole primaire Masumo,-0.0319035,29.1442662,,School,DRC_All_SCHool_Local
Ecole primaire Kasiyiro,0.095526,28.975012,,School,DRC_All_SCHool_Local
Ecole primaire Ceca20 Matuna,0.0576893,28.9061133,,School,DRC_All_SCHool_Local
Ecole secondaire Matolu,-0.369235,29.345057,,School,DRC_All_SCHool_Local
École primaire Kasiyiro,0.012895,29.013831,,School,DRC_All_SCHool_Local
École primaire Ndeko,0.074447,29.124266,,School,DRC_All_SCHool_Local
Ecole primaire Itunduliro,-0.029139,29.390294,,School,DRC_All_SCHool_Local
Ecole primaire Bukembe,-0.014768,29.420701,,School,DRC_All_SCHool_Local
Ecole primaire Kavisegho,-0.278399,29.299314,,School,DRC_All_SCHool_Local
Ecole primaire Vayana,-0.0157634,29.4191386,,School,DRC_All_SCHool_Local
École Primaire Bughumirya,0.040709,29.316429,,School,DRC_All_SCHool_Local
Ecole primaire Sana,0.066668,29.096996,,School,DRC_All_SCHool_Local
Ecole primaire Mwangaza,0.028692,29.103747,,School,DRC_All_SCHool_Local
École primaire Vulimira,0.033155,29.287761,,School,DRC_All_SCHool_Local
École primaire Vulimira,-0.002667,29.523514,,School,DRC_All_SCHool_Local
École primaire Kirungu,0.025472,29.363266,,School,DRC_All_SCHool_Local
Ecole primaire Yakanyama,-6.1263056,24.5326389,,School,DRC_All_SCHool_Local
Ecole primaire Kintukimune,-6.1301111,24.4907778,,School,DRC_All_SCHool_Local
Ecole primaire Kalambayi,-6.1348333,24.4884167,,School,DRC_All_SCHool_Local
École primaire Shimatayi,-6.1416667,24.4762222,,School,DRC_All_SCHool_Local
École primaire Tuendeyi,-6.1493889,24.4661389,,School,DRC_All_SCHool_Local
Ecole primaire Lukubama,-6.1416667,24.4896944,,School,DRC_All_SCHool_Local
École primaire Nambutwile,-6.1301111,24.4902222,,School,DRC_All_SCHool_Local
École primaire Shimatayi,-6.1180999,24.512553,,School,DRC_All_SCHool_Local
Ecole primaire Kintukimune,-6.1065439,24.5271086,,School,DRC_All_SCHool_Local
École primaire Kalambayi,-6.1112663,24.5247475,,School,DRC_All_SCHool_Local
Ecole primaire Nambutwile,-6.1065439,24.526553,,School,DRC_All_SCHool_Local
Ecole primaire Yakanyama,-6.1027381,24.5689697,,School,DRC_All_SCHool_Local
Ecole primaire Tuendeyi,-6.1258225,24.5024697,,School,DRC_All_SCHool_Local
Ecole primaire Lukubama,-6.1180999,24.5260253,,School,DRC_All_SCHool_Local
Ecole primaire Ditanda,-6.1416389,23.6992778,,School,DRC_All_SCHool_Local
École primaire Bena Kabimba,-6.29425,23.6581667,,School,DRC_All_SCHool_Local
Ecole primaire Kabongo Kankusu,-6.2054722,23.7025833,,School,DRC_All_SCHool_Local
École primaire Bakwa Bowa,-6.1232222,23.7243333,,School,DRC_All_SCHool_Local
Ecole primaire Kabikioni,-6.2409444,23.7490278,,School,DRC_All_SCHool_Local
École primaire Sankayi,-6.2255,23.7522222,,School,DRC_All_SCHool_Local
Ecole primaire Ndoba,-6.1626111,23.7099444,,School,DRC_All_SCHool_Local
Ecole primaire Binkunga,-5.6319444,22.2572222,,School,DRC_All_SCHool_Local
École primaire Dibanda 1,-5.6291268,22.8957458,,School,DRC_All_SCHool_Local
Ecole primaire Banongo,-5.9430556,21.6438889,,School,DRC_All_SCHool_Local
École primaire Diyeba,-5.8386111,22.6655,,School,DRC_All_SCHool_Local
Ecole primaire Kanongo,-5.7341667,21.4866944,,School,DRC_All_SCHool_Local
École primaire Benaleka 3,-5.0961111,22.0958333,,School,DRC_All_SCHool_Local
École primaire Musasa Kumi,-5.8102778,22.6852778,,School,DRC_All_SCHool_Local
Ecole primaire Mimuemue,-5.7622222,22.361,,School,DRC_All_SCHool_Local
Ecole primaire Lutshiatshia,-5.6591667,22.3245556,,School,DRC_All_SCHool_Local
Ecole primaire Tshikuma,-5.4775,22.3008333,,School,DRC_All_SCHool_Local
Ecole primaire Dibandisha,-5.2744444,22.8641667,,School,DRC_All_SCHool_Local
Ecole primaire Tshibala 1,-5.72,22.1347222,,School,DRC_All_SCHool_Local
École primaire Kaffubi,-5.7602778,22.7177778,,School,DRC_All_SCHool_Local
École primaire Lubudi,-5.7980556,22.7918889,,School,DRC_All_SCHool_Local
Ecole primaire Ntema,-5.8527778,21.5652778,,School,DRC_All_SCHool_Local
Ecole primaire Butumbi,-5.3247222,22.4689444,,School,DRC_All_SCHool_Local
École primaire Ntumba Nsengu,-5.7933333,22.6991944,,School,DRC_All_SCHool_Local
Ecole primaire Kambote,-5.7394444,22.5639722,,School,DRC_All_SCHool_Local
École primaire Bunkonde 2,-5.1558333,22.5202778,,School,DRC_All_SCHool_Local
Ecole primaire Benaleka 2,-5.3361111,22.5627778,,School,DRC_All_SCHool_Local
Ecole primaire Tshibala 2,-5.1375,22.7075028,,School,DRC_All_SCHool_Local
Ecole primaire Benaleka 1,-5.6669444,22.393,,School,DRC_All_SCHool_Local
Ecole primaire Mboie,-5.2022222,22.3897222,,School,DRC_All_SCHool_Local
