name,latitude,longitude,risk_status,distance_km,nearest_conflict_type,nearest_conflict_date,osm_id
Complexe Scolaire Lutula,-1.6372351,29.1927457,at-risk,4.74,Battle,2024-01-01,7149683344
Complexe Scolaire Buuma,-1.6376687,29.1928961,at-risk,4.69,Battle,2024-01-01,7149683345
Complexe Scolaire Savoir Vivre,-1.6343779,29.1922875,at-risk,5.02,Battle,2024-01-01,7149683346
Complexe Scolaire Providence,-1.6345514,29.1919483,at-risk,5.03,Battle,2024-01-01,7149683347
Complexe Scolaire la Perfection,-1.6354951,29.1932443,at-risk,4.85,Battle,2024-01-01,7149683348
Ecole Lacolombe,-1.6160264,29.1494561,at-risk,9.87,Battle,2024-01-01,7149688756
Institut Angalisho,-1.6113356,29.1551932,at-risk,9.72,Battle,2024-01-01,7149688761
École Primaire Uamusho,-1.6110133,29.1555739,at-risk,9.71,Battle,2024-01-01,7149688762
Ecole Primaire Nengapeta,-1.6152552,29.1496262,at-risk,9.91,Battle,2024-01-01,7149688764
Complexes scolaire Student Fund Mugunga,-1.6133529,29.1597203,at-risk,9.2,Battle,2024-01-01,7149688765
Institut Nyabyunyu,-1.6279098,29.1540563,at-risk,8.7,Battle,2024-01-01,7149688766
Institut Dissassi,-1.624075,29.1560773,at-risk,8.75,Battle,2024-01-01,7149688767
Complexe Scolaire Elaka,-1.6448956,29.2200532,at-risk,2.79,Battle,2024-01-01,7149737526
Complexe Scolaire Anane,-1.6499088,29.2143024,at-risk,2.32,Battle,2024-01-01,7149737529
Coplexe Scolaire open minds,-1.6488994,29.214079,at-risk,2.44,Battle,2024-01-01,7149737530
Complexe Scolaire Don Beni,-1.6422086,29.2110233,at-risk,3.25,Battle,2024-01-01,7149737531
Complexe scolaire Ahadi,-1.642436,29.2086403,at-risk,3.31,Battle,2024-01-01,7149737532
Complexe Scolaire Kanaume,-1.6452548,29.2122406,at-risk,2.88,Battle,2024-01-01,7149737533
Complexe Scolaire la restitution/ AROMA,-1.6482446,29.212712,at-risk,2.55,Battle,2024-01-01,7149737534
Complexe scolaire Bon Berger,-1.6432052,29.2076796,at-risk,3.28,Battle,2024-01-01,7149737535
Complexe scolaire Saint Benoit,-1.6434637,29.219412,at-risk,2.95,Battle,2024-01-01,7149737537
Institut Mbula,-1.6451084,29.1987456,at-risk,3.64,Battle,2024-01-01,7149760760
École Primaire Sebyera,-1.6528663,29.196333,at-risk,3.25,Battle,2024-01-01,7149760761
Complexe Scolaire la Joie,-1.65416,29.1960717,at-risk,3.19,Battle,2024-01-01,7149760762
École Primaire Kyezye,-1.6452164,29.1989694,at-risk,3.61,Battle,2024-01-01,7149760763
Complexe Scolaire Saint Jacques,-1.6427933,29.1955671,at-risk,4.07,Battle,2024-01-01,7149760764
École Primaire Kigogo,-1.6441219,29.1977444,at-risk,3.79,Battle,2024-01-01,7149760765
Complexe Scolaire Linda,-1.6447317,29.2008367,at-risk,3.53,Battle,2024-01-01,7149760766
Institut 2 Injili,-1.6471767,29.1990983,at-risk,3.44,Battle,2024-01-01,7149760767
Institut Avenir,-1.6451018,29.1979273,at-risk,3.7,Battle,2024-01-01,7149760768
Complexe Scolaire Tom-mas,-1.6528903,29.1978252,at-risk,3.11,Battle,2024-01-01,7149760769
Institut Nyabushongo,-1.6446803,29.1919734,at-risk,4.2,Battle,2024-01-01,7149760770
Complexe Scolaire la Grace,-1.6458633,29.2018083,at-risk,3.36,Battle,2024-01-01,7149760771
Complexe Scolaire Muzalimu,-1.6455254,29.201091,at-risk,3.44,Battle,2024-01-01,7149760772
Groupe scolaire la Reconciliation,-1.6447838,29.2029067,at-risk,3.39,Battle,2024-01-01,7149760773
Institut Mwangaza,-1.650303,29.1981688,at-risk,3.27,Battle,2024-01-01,7149760774
